multiplier,floor,profit_lockin,score,mean_sharpe,mean_sortino,mean_final_nav,worst_hour_final_nav,breach_events,days_below_floor
3.0,0.6,0.01,24,0.812,1.478,213.22,199.29,0,0
3.0,0.6,0.02,24,0.816,1.482,215.18,201.98,0,0
3.0,0.6,0.03,24,0.817,1.481,216.23,198.28,0,0
3.0,0.6,0.04,24,0.822,1.494,218.15,203.36,0,0
3.0,0.6,0.05,24,0.823,1.499,220.03,201.98,0,0
3.0,0.6,0.06,24,0.829,1.506,222.48,207.43,0,0
3.0,0.6,0.07,24,0.83,1.518,224.41,201.98,0,0
3.0,0.6,0.08,24,0.839,1.534,226.67,206.02,0,0
3.0,0.6,0.09,24,0.845,1.522,228.56,210.9,0,0
3.0,0.6,0.1,24,0.838,1.534,229.35,206.77,0,0
3.0,0.6,0.11,24,0.847,1.544,232.6,210.62,0,0
3.0,0.6,0.12,24,0.842,1.542,231.9,216.79,0,0
3.0,0.6,0.13,24,0.827,1.524,228.46,206.41,0,0
3.0,0.6,0.14,24,0.835,1.548,232.45,214.41,0,0
3.0,0.6,0.15,24,0.833,1.55,233.25,196.94,0,0
3.0,0.6,0.16,24,0.849,1.574,237.21,205.29,0,0
3.0,0.6,0.17,24,0.859,1.548,238.85,197.76,0,0
3.0,0.6,0.18,24,0.879,1.607,248.49,222.43,0,0
3.0,0.6,0.19,24,0.884,1.611,250.01,212.42,0,0
3.0,0.61,0.01,24,0.808,1.474,209.99,195.22,0,0
3.0,0.61,0.02,24,0.81,1.474,211.34,198.27,0,0
3.0,0.61,0.03,24,0.811,1.474,212.41,199.29,0,0
3.0,0.61,0.04,24,0.815,1.481,214.91,198.95,0,0
3.0,0.61,0.05,24,0.821,1.496,217.22,203.3,0,0
3.0,0.61,0.06,24,0.824,1.496,217.88,201.28,0,0
3.0,0.61,0.07,24,0.827,1.504,219.76,202.8,0,0
3.0,0.61,0.08,24,0.831,1.505,222.94,198.95,0,0
3.0,0.61,0.09,24,0.841,1.515,224.62,207.35,0,0
3.0,0.61,0.1,24,0.836,1.518,226.57,203.3,0,0
3.0,0.61,0.11,24,0.843,1.529,229.42,206.34,0,0
3.0,0.61,0.12,24,0.832,1.53,225.79,206.84,0,0
3.0,0.61,0.13,24,0.828,1.546,228.39,205.83,0,0
3.0,0.61,0.14,24,0.827,1.542,228.12,203.0,0,0
3.0,0.61,0.15,24,0.836,1.552,230.41,211.41,0,0
3.0,0.61,0.16,24,0.85,1.555,234.19,205.75,0,0
3.0,0.61,0.17,24,0.861,1.553,238.44,198.77,0,0
3.0,0.61,0.18,24,0.877,1.585,244.96,207.78,0,0
3.0,0.61,0.19,24,0.878,1.584,245.38,213.41,0,0
3.0,0.62,0.01,24,0.805,1.47,206.88,192.17,0,0
3.0,0.62,0.02,24,0.806,1.468,208.37,195.22,0,0
3.0,0.62,0.03,24,0.811,1.485,210.62,197.26,0,0
3.0,0.62,0.04,24,0.81,1.479,211.17,197.26,0,0
3.0,0.62,0.05,24,0.814,1.479,212.5,198.24,0,0
3.0,0.62,0.06,24,0.817,1.492,215.85,197.26,0,0
3.0,0.62,0.07,24,0.82,1.502,216.64,196.23,0,0
3.0,0.62,0.08,24,0.828,1.499,219.87,199.77,0,0
3.0,0.62,0.09,24,0.831,1.491,219.93,191.16,0,0
3.0,0.62,0.1,24,0.832,1.517,224.59,203.81,0,0
3.0,0.62,0.11,24,0.827,1.519,224.84,206.29,0,0
3.0,0.62,0.12,24,0.823,1.525,222.74,197.48,0,0
3.0,0.62,0.13,24,0.819,1.526,223.33,199.2,0,0
3.0,0.62,0.14,24,0.819,1.513,222.6,203.81,0,0
3.0,0.62,0.15,24,0.832,1.537,225.69,197.39,0,0
3.0,0.62,0.16,24,0.85,1.56,232.48,207.84,0,0
3.0,0.62,0.17,24,0.853,1.513,231.5,200.27,0,0
3.0,0.62,0.18,24,0.873,1.563,240.61,206.41,0,0
3.0,0.62,0.19,24,0.871,1.56,239.92,217.6,0,0
3.0,0.63,0.01,24,0.805,1.474,204.25,190.14,0,0
3.0,0.63,0.02,24,0.805,1.471,205.74,192.17,0,0
3.0,0.63,0.03,24,0.805,1.475,207.18,195.22,0,0
3.0,0.63,0.04,24,0.806,1.474,207.6,192.89,0,0
3.0,0.63,0.05,24,0.811,1.477,210.11,193.37,0,0
3.0,0.63,0.06,24,0.811,1.476,211.51,192.17,0,0
3.0,0.63,0.07,24,0.813,1.489,213.19,197.24,0,0
3.0,0.63,0.08,24,0.816,1.486,214.42,199.39,0,0
3.0,0.63,0.09,24,0.823,1.498,218.64,198.39,0,0
3.0,0.63,0.1,24,0.823,1.489,219.24,196.25,0,0
3.0,0.63,0.11,24,0.812,1.466,215.59,196.23,0,0
3.0,0.63,0.12,24,0.814,1.513,218.63,202.32,0,0
3.0,0.63,0.13,24,0.812,1.51,218.26,198.85,0,0
3.0,0.63,0.14,24,0.823,1.547,223.04,203.4,0,0
3.0,0.63,0.15,24,0.827,1.548,224.19,198.73,0,0
3.0,0.63,0.16,24,0.831,1.518,225.35,194.21,0,0
3.0,0.63,0.17,24,0.862,1.579,236.84,201.28,0,0
3.0,0.63,0.18,24,0.88,1.572,238.57,207.4,0,0
3.0,0.63,0.19,24,0.862,1.554,237.75,216.36,0,0
3.0,0.64,0.01,24,0.804,1.477,201.82,189.12,0,0
3.0,0.64,0.02,24,0.803,1.473,202.93,189.12,0,0
3.0,0.64,0.03,24,0.804,1.477,204.62,190.14,0,0
3.0,0.64,0.04,24,0.806,1.479,205.73,191.16,0,0
3.0,0.64,0.05,24,0.808,1.474,206.67,192.17,0,0
3.0,0.64,0.06,24,0.809,1.472,209.48,196.38,0,0
3.0,0.64,0.07,24,0.812,1.5,211.53,193.19,0,0
3.0,0.64,0.08,24,0.817,1.481,212.01,193.9,0,0
3.0,0.64,0.09,24,0.821,1.482,214.71,193.19,0,0
3.0,0.64,0.1,24,0.821,1.505,218.12,204.4,0,0
3.0,0.64,0.11,24,0.807,1.497,214.27,197.75,0,0
3.0,0.64,0.12,24,0.81,1.52,217.62,190.91,0,0
3.0,0.64,0.13,24,0.808,1.511,214.33,194.38,0,0
3.0,0.64,0.14,24,0.822,1.537,219.87,191.89,0,0
3.0,0.64,0.15,24,0.82,1.513,217.58,199.39,0,0
3.0,0.64,0.16,24,0.838,1.523,222.26,193.72,0,0
3.0,0.64,0.17,24,0.861,1.552,231.38,200.4,0,0
3.0,0.64,0.18,24,0.852,1.509,229.59,210.06,0,0
3.0,0.64,0.19,24,0.857,1.522,231.45,199.26,0,0
3.0,0.65,0.01,24,0.804,1.482,199.32,187.09,0,0
3.0,0.65,0.02,24,0.804,1.479,200.63,188.11,0,0
3.0,0.65,0.03,24,0.803,1.472,201.44,188.11,0,0
3.0,0.65,0.04,24,0.805,1.489,203.69,191.26,0,0
3.0,0.65,0.05,24,0.805,1.483,204.29,191.7,0,0
3.0,0.65,0.06,24,0.801,1.452,204.36,191.26,0,0
3.0,0.65,0.07,24,0.802,1.458,205.1,187.09,0,0
3.0,0.65,0.08,24,0.808,1.463,208.27,188.11,0,0
3.0,0.65,0.09,24,0.812,1.47,212.68,192.2,0,0
3.0,0.65,0.1,24,0.81,1.478,212.37,196.93,0,0
3.0,0.65,0.11,24,0.814,1.511,213.45,189.13,0,0
3.0,0.65,0.12,24,0.806,1.513,213.02,188.11,0,0
3.0,0.65,0.13,24,0.818,1.533,214.23,188.84,0,0
3.0,0.65,0.14,24,0.814,1.534,216.16,191.37,0,0
3.0,0.65,0.15,24,0.827,1.551,219.22,185.68,0,0
3.0,0.65,0.16,24,0.829,1.518,219.92,193.71,0,0
3.0,0.65,0.17,24,0.844,1.512,225.84,201.39,0,0
3.0,0.65,0.18,24,0.841,1.504,226.04,209.41,0,0
3.0,0.65,0.19,24,0.858,1.543,232.43,205.43,0,0
3.0,0.66,0.01,24,0.803,1.483,196.47,184.04,0,0
3.0,0.66,0.02,24,0.803,1.477,197.91,187.09,0,0
3.0,0.66,0.03,24,0.802,1.48,198.89,186.07,0,0
3.0,0.66,0.04,24,0.803,1.478,200.47,185.06,0,0
3.0,0.66,0.05,24,0.805,1.482,201.48,189.12,0,0
3.0,0.66,0.06,24,0.803,1.472,203.37,186.36,0,0
3.0,0.66,0.07,24,0.802,1.477,203.45,187.12,0,0
3.0,0.66,0.08,24,0.81,1.486,207.58,192.98,0,0
3.0,0.66,0.09,24,0.807,1.457,207.93,189.87,0,0
3.0,0.66,0.1,24,0.806,1.458,207.03,192.98,0,0
3.0,0.66,0.11,24,0.807,1.501,209.78,190.35,0,0
3.0,0.66,0.12,24,0.804,1.502,208.96,187.67,0,0
3.0,0.66,0.13,24,0.803,1.493,207.52,186.07,0,0
3.0,0.66,0.14,24,0.817,1.54,214.81,193.21,0,0
3.0,0.66,0.15,24,0.82,1.514,213.84,189.13,0,0
3.0,0.66,0.16,24,0.826,1.516,217.51,194.71,0,0
3.0,0.66,0.17,24,0.833,1.504,221.1,185.37,0,0
3.0,0.66,0.18,24,0.845,1.541,226.25,199.21,0,0
3.0,0.66,0.19,24,0.858,1.559,231.06,205.74,0,0
3.0,0.67,0.01,24,0.801,1.484,193.93,181.97,0,0
3.0,0.67,0.02,24,0.801,1.477,194.74,181.97,0,0
3.0,0.67,0.03,24,0.802,1.489,196.56,180.96,0,0
3.0,0.67,0.04,24,0.799,1.468,196.85,181.97,0,0
3.0,0.67,0.05,24,0.805,1.487,198.85,188.09,0,0
3.0,0.67,0.06,24,0.804,1.489,201.79,184.01,0,0
3.0,0.67,0.07,24,0.798,1.453,199.67,186.36,0,0
3.0,0.67,0.08,24,0.802,1.47,204.83,185.65,0,0
3.0,0.67,0.09,24,0.801,1.461,205.1,185.81,0,0
3.0,0.67,0.1,24,0.804,1.477,204.58,188.66,0,0
3.0,0.67,0.11,24,0.8,1.489,205.61,190.13,0,0
3.0,0.67,0.12,24,0.808,1.521,206.88,188.83,0,0
3.0,0.67,0.13,24,0.819,1.555,210.74,190.16,0,0
3.0,0.67,0.14,24,0.818,1.502,209.21,181.03,0,0
3.0,0.67,0.15,24,0.822,1.505,212.28,187.36,0,0
3.0,0.67,0.16,24,0.833,1.502,215.74,195.38,0,0
3.0,0.67,0.17,24,0.828,1.496,216.27,186.36,0,0
3.0,0.67,0.18,24,0.848,1.565,226.5,199.46,0,0
3.0,0.67,0.19,24,0.839,1.476,219.13,200.39,0,0
3.0,0.68,0.01,24,0.799,1.481,191.1,178.83,0,0
3.0,0.68,0.02,24,0.796,1.47,191.57,178.83,0,0
3.0,0.68,0.03,24,0.796,1.471,193.14,181.88,0,0
3.0,0.68,0.04,24,0.799,1.469,194.71,178.84,0,0
3.0,0.68,0.05,24,0.796,1.47,196.15,180.87,0,0
3.0,0.68,0.06,24,0.802,1.479,197.09,178.84,0,0
3.0,0.68,0.07,24,0.803,1.492,200.26,182.9,0,0
3.0,0.68,0.08,24,0.796,1.449,200.68,181.09,0,0
3.0,0.68,0.09,24,0.793,1.44,200.64,185.34,0,0
3.0,0.68,0.1,24,0.806,1.508,204.22,188.66,0,0
3.0,0.68,0.11,24,0.803,1.496,203.23,190.14,0,0
3.0,0.68,0.12,24,0.811,1.535,206.27,178.84,0,0
3.0,0.68,0.13,24,0.805,1.488,202.24,185.35,0,0
3.0,0.68,0.14,24,0.82,1.541,210.71,182.34,0,0
3.0,0.68,0.15,24,0.816,1.505,210.64,188.35,0,0
3.0,0.68,0.16,24,0.822,1.49,212.56,181.09,0,0
3.0,0.68,0.17,24,0.832,1.529,217.16,188.61,0,0
3.0,0.68,0.18,24,0.843,1.486,216.68,195.18,0,0
3.0,0.68,0.19,24,0.833,1.494,216.81,187.3,0,0
3.0,0.69,0.01,24,0.797,1.485,188.23,176.71,0,0
3.0,0.69,0.02,24,0.798,1.486,189.42,177.73,0,0
3.0,0.69,0.03,24,0.799,1.491,191.5,179.76,0,0
3.0,0.69,0.04,24,0.797,1.477,192.39,179.76,0,0
3.0,0.69,0.05,24,0.797,1.48,194.08,176.72,0,0
3.0,0.69,0.06,24,0.796,1.478,193.9,178.04,0,0
3.0,0.69,0.07,24,0.8,1.471,195.52,182.67,0,0
3.0,0.69,0.08,24,0.791,1.421,196.13,182.06,0,0
3.0,0.69,0.09,24,0.79,1.436,196.99,182.56,0,0
3.0,0.69,0.1,24,0.801,1.483,199.61,184.04,0,0
3.0,0.69,0.11,24,0.804,1.524,202.25,185.23,0,0
3.0,0.69,0.12,24,0.807,1.53,202.58,179.76,0,0
3.0,0.69,0.13,24,0.811,1.545,203.71,186.34,0,0
3.0,0.69,0.14,24,0.805,1.504,202.66,182.93,0,0
3.0,0.69,0.15,24,0.816,1.518,207.02,189.65,0,0
3.0,0.69,0.16,24,0.818,1.508,210.05,181.33,0,0
3.0,0.69,0.17,24,0.825,1.482,210.83,189.57,0,0
3.0,0.69,0.18,24,0.841,1.501,215.31,195.35,0,0
3.0,0.69,0.19,24,0.821,1.479,213.7,185.86,0,0
3.0,0.7,0.01,24,0.793,1.48,185.24,173.58,0,0
3.0,0.7,0.02,24,0.794,1.482,187.11,174.59,0,0
3.0,0.7,0.03,24,0.794,1.472,187.95,174.6,0,0
3.0,0.7,0.04,24,0.796,1.479,189.39,176.63,0,0
3.0,0.7,0.05,24,0.793,1.456,189.9,180.31,0,0
3.0,0.7,0.06,24,0.795,1.501,192.03,174.6,0,0
3.0,0.7,0.07,24,0.796,1.486,193.75,170.54,0,0
3.0,0.7,0.08,24,0.791,1.435,194.66,179.86,0,0
3.0,0.7,0.09,24,0.79,1.439,193.28,179.43,0,0
3.0,0.7,0.1,24,0.8,1.489,197.11,181.45,0,0
3.0,0.7,0.11,24,0.801,1.509,197.57,174.69,0,0
3.0,0.7,0.12,24,0.798,1.505,197.89,179.84,0,0
3.0,0.7,0.13,24,0.81,1.531,201.27,175.79,0,0
3.0,0.7,0.14,24,0.815,1.524,202.97,182.32,0,0
3.0,0.7,0.15,24,0.807,1.486,201.58,175.58,0,0
3.0,0.7,0.16,24,0.827,1.51,210.21,187.52,0,0
3.0,0.7,0.17,24,0.82,1.458,207.41,189.33,0,0
3.0,0.7,0.18,24,0.83,1.478,210.82,183.41,0,0
3.0,0.7,0.19,24,0.818,1.478,212.98,185.05,0,0
3.0,0.71,0.01,24,0.792,1.481,182.51,171.46,0,0
3.0,0.71,0.02,24,0.79,1.471,183.87,171.46,0,0
3.0,0.71,0.03,24,0.789,1.466,184.67,172.48,0,0
3.0,0.71,0.04,24,0.79,1.471,186.06,173.49,0,0
3.0,0.71,0.05,24,0.787,1.451,187.0,176.01,0,0
3.0,0.71,0.06,24,0.792,1.472,188.61,178.62,0,0
3.0,0.71,0.07,24,0.791,1.458,190.51,174.49,0,0
3.0,0.71,0.08,24,0.785,1.426,190.81,176.51,0,0
3.0,0.71,0.09,24,0.797,1.49,193.82,180.78,0,0
3.0,0.71,0.1,24,0.799,1.51,194.61,176.56,0,0
3.0,0.71,0.11,24,0.797,1.503,194.76,172.48,0,0
3.0,0.71,0.12,24,0.787,1.458,191.16,179.31,0,0
3.0,0.71,0.13,24,0.804,1.549,199.95,175.56,0,0
3.0,0.71,0.14,24,0.807,1.508,200.31,183.59,0,0
3.0,0.71,0.15,24,0.803,1.464,199.29,176.96,0,0
3.0,0.71,0.16,24,0.807,1.46,205.05,183.31,0,0
3.0,0.71,0.17,24,0.807,1.455,206.9,173.56,0,0
3.0,0.71,0.18,24,0.815,1.445,207.91,179.99,0,0
3.0,0.71,0.19,24,0.811,1.448,211.46,185.59,0,0
3.0,0.72,0.01,24,0.788,1.474,179.56,170.36,0,0
3.0,0.72,0.02,24,0.791,1.48,181.13,172.39,0,0
3.0,0.72,0.03,24,0.789,1.475,182.03,171.28,0,0
3.0,0.72,0.04,24,0.792,1.483,184.26,170.36,0,0
3.0,0.72,0.05,24,0.79,1.473,185.58,172.28,0,0
3.0,0.72,0.06,24,0.787,1.468,185.45,173.26,0,0
3.0,0.72,0.07,24,0.792,1.48,189.35,171.64,0,0
3.0,0.72,0.08,24,0.789,1.454,189.0,176.28,0,0
3.0,0.72,0.09,24,0.794,1.497,190.91,175.34,0,0
3.0,0.72,0.1,24,0.79,1.491,190.85,173.29,0,0
3.0,0.72,0.11,24,0.799,1.526,193.3,173.41,0,0
3.0,0.72,0.12,24,0.794,1.508,192.07,180.29,0,0
3.0,0.72,0.13,24,0.803,1.497,194.83,176.29,0,0
3.0,0.72,0.14,24,0.8,1.479,197.06,171.28,0,0
3.0,0.72,0.15,24,0.795,1.441,198.28,177.29,0,0
3.0,0.72,0.16,24,0.809,1.438,202.53,184.57,0,0
3.0,0.72,0.17,24,0.798,1.409,203.46,179.46,0,0
3.0,0.72,0.18,24,0.814,1.465,210.39,180.3,0,0
3.0,0.72,0.19,24,0.822,1.471,213.15,186.99,0,0
3.0,0.73,0.01,24,0.785,1.474,176.79,167.24,0,0
3.0,0.73,0.02,24,0.788,1.484,178.23,169.26,0,0
3.0,0.73,0.03,24,0.785,1.472,178.74,168.25,0,0
3.0,0.73,0.04,24,0.787,1.483,180.43,170.35,0,0
3.0,0.73,0.05,24,0.787,1.47,182.04,165.21,0,0
3.0,0.73,0.06,24,0.787,1.469,183.06,171.29,0,0
3.0,0.73,0.07,24,0.784,1.43,184.63,171.87,0,0
3.0,0.73,0.08,24,0.79,1.455,185.52,174.1,0,0
3.0,0.73,0.09,24,0.79,1.492,186.86,172.88,0,0
3.0,0.73,0.1,24,0.793,1.512,189.25,173.27,0,0
3.0,0.73,0.11,24,0.8,1.52,188.65,173.6,0,0
3.0,0.73,0.12,24,0.792,1.499,190.39,170.57,0,0
3.0,0.73,0.13,24,0.786,1.487,192.97,177.28,0,0
3.0,0.73,0.14,24,0.79,1.474,194.98,171.87,0,0
3.0,0.73,0.15,24,0.791,1.433,197.27,178.91,0,0
3.0,0.73,0.16,24,0.787,1.369,197.36,171.3,0,0
3.0,0.73,0.17,24,0.795,1.424,203.65,176.41,0,0
3.0,0.73,0.18,24,0.791,1.402,202.89,181.93,0,0
3.0,0.73,0.19,24,0.792,1.408,203.58,169.35,0,0
3.0,0.74,0.01,24,0.783,1.473,173.86,165.13,0,0
3.0,0.74,0.02,24,0.781,1.467,174.83,166.14,0,0
3.0,0.74,0.03,24,0.782,1.47,176.36,166.14,0,0
3.0,0.74,0.04,24,0.788,1.486,178.13,170.26,0,0
3.0,0.74,0.05,24,0.788,1.49,179.14,166.14,0,0
3.0,0.74,0.06,24,0.783,1.473,180.15,166.14,0,0
3.0,0.74,0.07,24,0.782,1.434,181.97,167.16,0,0
3.0,0.74,0.08,24,0.785,1.488,184.06,164.12,0,0
3.0,0.74,0.09,24,0.797,1.518,185.47,168.76,0,0
3.0,0.74,0.1,24,0.787,1.487,183.8,166.14,0,0
3.0,0.74,0.11,24,0.796,1.526,186.77,173.26,0,0
3.0,0.74,0.12,24,0.787,1.483,188.3,170.26,0,0
3.0,0.74,0.13,24,0.784,1.441,187.27,166.28,0,0
3.0,0.74,0.14,24,0.783,1.403,191.74,173.33,0,0
3.0,0.74,0.15,24,0.789,1.402,194.35,180.25,0,0
3.0,0.74,0.16,24,0.784,1.399,197.62,171.32,0,0
3.0,0.74,0.17,24,0.765,1.349,194.48,176.28,0,0
3.0,0.74,0.18,24,0.777,1.381,196.89,165.15,0,0
3.0,0.74,0.19,24,0.764,1.322,191.62,170.51,0,0
3.0,0.75,0.01,24,0.781,1.476,171.22,162.01,0,0
3.0,0.75,0.02,24,0.78,1.47,172.79,165.04,0,0
3.0,0.75,0.03,24,0.782,1.474,174.1,164.03,0,0
3.0,0.75,0.04,24,0.782,1.467,175.66,163.43,0,0
3.0,0.75,0.05,24,0.78,1.494,176.47,162.01,0,0
3.0,0.75,0.06,24,0.78,1.447,176.76,165.78,0,0
3.0,0.75,0.07,24,0.774,1.426,178.15,166.24,0,0
