multiplier,floor,profit_lockin,score,mean_sharpe,mean_sortino,mean_final_nav,worst_hour_final_nav,breach_events,days_below_floor
3.0,0.6,0.01,0,-0.42,-0.36,63.42,61.91,5,11378
3.0,0.6,0.02,0,-0.418,-0.359,62.93,61.03,5,11378
3.0,0.6,0.03,0,-0.417,-0.359,62.8,59.91,5,11378
3.0,0.6,0.04,0,-0.409,-0.355,61.38,59.06,5,11378
3.0,0.6,0.05,0,-0.41,-0.355,61.4,59.06,5,11378
3.0,0.6,0.06,0,-0.41,-0.355,61.43,57.75,5,11378
3.0,0.6,0.07,0,-0.4,-0.349,59.91,56.97,5,11378
3.0,0.6,0.08,0,-0.393,-0.345,58.8,56.58,5,11378
3.0,0.6,0.09,0,-0.393,-0.345,58.8,56.58,5,11378
3.0,0.6,0.1,0,-0.393,-0.345,58.8,56.58,5,11378
3.0,0.6,0.11,0,-0.393,-0.345,58.8,56.58,5,11378
3.0,0.6,0.12,0,-0.393,-0.345,58.8,56.58,5,11378
3.0,0.6,0.13,0,-0.393,-0.345,58.8,56.58,5,11378
3.0,0.6,0.14,0,-0.393,-0.345,58.8,56.58,5,11378
3.0,0.6,0.15,0,-0.393,-0.345,58.8,56.58,5,11378
3.0,0.6,0.16,0,-0.393,-0.345,58.8,56.58,5,11378
3.0,0.6,0.17,0,-0.393,-0.345,58.8,56.58,5,11378
3.0,0.6,0.18,0,-0.393,-0.345,58.8,56.58,5,11378
3.0,0.6,0.19,0,-0.393,-0.345,58.8,56.58,5,11378
3.0,0.61,0.01,0,-0.424,-0.362,64.4,62.91,5,11378
3.0,0.61,0.02,0,-0.422,-0.361,63.91,62.01,5,11378
3.0,0.61,0.03,0,-0.421,-0.361,63.78,60.91,5,11378
3.0,0.61,0.04,0,-0.415,-0.358,62.36,60.04,5,11378
3.0,0.61,0.05,0,-0.416,-0.358,62.38,60.04,5,11378
3.0,0.61,0.06,0,-0.415,-0.358,62.41,58.71,5,11378
3.0,0.61,0.07,0,-0.406,-0.353,60.89,57.92,5,11378
3.0,0.61,0.08,0,-0.4,-0.349,59.78,57.53,5,11378
3.0,0.61,0.09,0,-0.4,-0.349,59.78,57.53,5,11378
3.0,0.61,0.1,0,-0.4,-0.349,59.78,57.53,5,11378
3.0,0.61,0.11,0,-0.4,-0.349,59.78,57.53,5,11378
3.0,0.61,0.12,0,-0.4,-0.349,59.78,57.53,5,11378
3.0,0.61,0.13,0,-0.4,-0.349,59.78,57.53,5,11378
3.0,0.61,0.14,0,-0.4,-0.349,59.78,57.53,5,11378
3.0,0.61,0.15,0,-0.4,-0.349,59.78,57.53,5,11378
3.0,0.61,0.16,0,-0.4,-0.349,59.78,57.53,5,11378
3.0,0.61,0.17,0,-0.4,-0.349,59.78,57.53,5,11378
3.0,0.61,0.18,0,-0.4,-0.349,59.78,57.53,5,11378
3.0,0.61,0.19,0,-0.4,-0.349,59.78,57.53,5,11378
3.0,0.62,0.01,0,-0.427,-0.364,65.38,63.91,5,11378
3.0,0.62,0.02,0,-0.425,-0.363,64.89,63.0,5,11378
3.0,0.62,0.03,0,-0.425,-0.363,64.76,61.91,5,11378
3.0,0.62,0.04,0,-0.419,-0.36,63.34,61.03,5,11378
3.0,0.62,0.05,0,-0.42,-0.36,63.36,61.03,5,11378
3.0,0.62,0.06,0,-0.419,-0.36,63.39,59.67,5,11378
3.0,0.62,0.07,0,-0.411,-0.356,61.87,58.87,5,11378
3.0,0.62,0.08,0,-0.406,-0.352,60.76,58.47,5,11378
3.0,0.62,0.09,0,-0.406,-0.352,60.76,58.47,5,11378
3.0,0.62,0.1,0,-0.406,-0.352,60.76,58.47,5,11378
3.0,0.62,0.11,0,-0.406,-0.352,60.76,58.47,5,11378
3.0,0.62,0.12,0,-0.406,-0.352,60.76,58.47,5,11378
3.0,0.62,0.13,0,-0.406,-0.352,60.76,58.47,5,11378
3.0,0.62,0.14,0,-0.406,-0.352,60.76,58.47,5,11378
3.0,0.62,0.15,0,-0.406,-0.352,60.76,58.47,5,11378
3.0,0.62,0.16,0,-0.406,-0.352,60.76,58.47,5,11378
3.0,0.62,0.17,0,-0.406,-0.352,60.76,58.47,5,11378
3.0,0.62,0.18,0,-0.406,-0.352,60.76,58.47,5,11378
3.0,0.62,0.19,0,-0.406,-0.352,60.76,58.47,5,11378
3.0,0.63,0.01,0,-0.43,-0.366,66.36,64.91,5,11378
3.0,0.63,0.02,0,-0.428,-0.365,65.87,63.98,5,11378
3.0,0.63,0.03,0,-0.428,-0.365,65.74,62.91,5,11378
3.0,0.63,0.04,0,-0.423,-0.362,64.32,62.01,5,11378
3.0,0.63,0.05,0,-0.423,-0.362,64.34,62.01,5,11378
3.0,0.63,0.06,0,-0.423,-0.362,64.37,60.64,5,11378
3.0,0.63,0.07,0,-0.416,-0.358,62.85,59.82,5,11378
3.0,0.63,0.08,0,-0.411,-0.355,61.74,59.41,5,11378
3.0,0.63,0.09,0,-0.411,-0.355,61.74,59.41,5,11378
3.0,0.63,0.1,0,-0.411,-0.355,61.74,59.41,5,11378
3.0,0.63,0.11,0,-0.411,-0.355,61.74,59.41,5,11378
3.0,0.63,0.12,0,-0.411,-0.355,61.74,59.41,5,11378
