hour,final_nav,final_xlm,final_safe,beats_safe,sharpe,sortino,nav_max_drawdown,xlm_max_drawdown,breach_events,days_below_floor
0,224.55,152.94,119.08,True,0.862,1.559,-0.2922,-0.744,0,0
1,218.32,153.95,119.08,True,0.835,1.496,-0.3028,-0.7425,0,0
2,224.15,152.72,119.08,True,0.843,1.527,-0.3049,-0.7467,0,0
3,242.58,153.66,119.08,True,0.916,1.579,-0.3106,-0.7599,0,0
4,246.57,154.48,119.08,True,0.931,1.622,-0.3091,-0.7624,0,0
5,246.71,153.11,119.08,True,0.984,1.709,-0.3033,-0.7577,0,0
6,244.16,154.92,119.08,True,0.969,1.655,-0.3045,-0.744,0,0
7,243.58,156.02,119.08,True,0.949,1.693,-0.3084,-0.7483,0,0
8,253.18,156.01,119.08,True,0.954,1.745,-0.3038,-0.76,0,0
9,241.19,157.3,119.08,True,0.899,1.615,-0.3026,-0.7518,0,0
10,247.22,156.65,119.08,True,0.958,1.636,-0.3049,-0.753,0,0
11,248.18,157.13,119.08,True,0.949,1.636,-0.3124,-0.7573,0,0
12,232.87,156.61,119.08,True,0.905,1.596,-0.3113,-0.7457,0,0
13,227.06,155.96,119.08,True,0.899,1.462,-0.321,-0.7358,0,0
14,229.75,155.05,119.08,True,0.909,1.577,-0.3112,-0.733,0,0
15,225.3,156.32,119.08,True,0.86,1.533,-0.2997,-0.7352,0,0
16,237.85,155.7,119.08,True,0.86,1.834,-0.2877,-0.7497,0,0
17,236.53,157.55,119.08,True,0.89,1.871,-0.2858,-0.7437,0,0
18,242.98,159.55,119.08,True,0.949,1.971,-0.2762,-0.7293,0,0
19,241.85,159.27,119.08,True,0.932,1.854,-0.2899,-0.7357,0,0
20,227.15,157.86,119.08,True,0.877,1.551,-0.2926,-0.7353,0,0
21,224.92,157.82,119.08,True,0.842,1.457,-0.3019,-0.7449,0,0
22,224.67,157.95,119.08,True,0.844,1.5,-0.2841,-0.7485,0,0
23,227.2,156.3,119.08,True,0.882,1.576,-0.2895,-0.7415,0,0
