hour,final_nav,final_xlm,final_safe,beats_safe,sharpe,sortino,nav_max_drawdown,xlm_max_drawdown,breach_events,days_below_floor
0,63.5,60.45,100.0,False,-0.386,-0.174,-0.3971,-0.9044,1,2362
1,64.76,60.68,100.0,False,-0.349,-0.16,-0.3892,-0.9087,1,2362
2,64.2,59.25,100.0,False,-0.389,-0.178,-0.3868,-0.916,1,2362
3,63.51,59.75,100.0,False,-0.379,-0.174,-0.3893,-0.9066,1,2362
4,63.98,60.66,100.0,False,-0.371,-0.349,-0.3907,-0.9013,0,0
5,65.09,60.14,100.0,False,-0.392,-0.364,-0.3832,-0.9065,0,0
6,63.72,60.35,100.0,False,-0.408,-0.376,-0.3892,-0.905,0,0
7,61.91,59.81,100.0,False,-0.388,-0.368,-0.397,-0.9054,0,0
8,63.08,59.66,100.0,False,-0.4,-0.378,-0.3908,-0.9089,0,0
9,62.3,59.04,100.0,False,-0.454,-0.435,-0.3928,-0.9068,0,0
10,63.11,58.98,100.0,False,-0.418,-0.394,-0.385,-0.9095,0,0
11,62.01,59.14,100.0,False,-0.42,-0.4,-0.391,-0.9074,0,0
12,63.0,58.85,100.0,False,-0.455,-0.439,-0.3809,-0.9054,0,0
13,63.1,58.43,100.0,False,-0.448,-0.271,-0.3814,-0.9043,1,1930
14,64.03,58.2,100.0,False,-0.443,-0.448,-0.3776,-0.9067,0,0
15,63.05,58.79,100.0,False,-0.439,-0.434,-0.3826,-0.9047,0,0
16,64.82,59.05,100.0,False,-0.476,-0.45,-0.3747,-0.9035,0,0
17,63.88,59.61,100.0,False,-0.468,-0.452,-0.3787,-0.9011,0,0
18,63.77,60.46,100.0,False,-0.431,-0.392,-0.3789,-0.902,0,0
19,63.19,60.05,100.0,False,-0.449,-0.427,-0.3762,-0.8999,0,0
20,63.5,59.79,100.0,False,-0.464,-0.436,-0.3752,-0.9015,0,0
21,63.27,60.34,100.0,False,-0.432,-0.404,-0.382,-0.9008,0,0
22,62.67,59.85,100.0,False,-0.425,-0.388,-0.3787,-0.8988,0,0
23,62.56,59.45,100.0,False,-0.395,-0.357,-0.3823,-0.9,0,0
